,pl_name
0,Teegarden's Star b
1,TOI-700 d
2,K2-72 e
3,TRAPPIST-1 d
4,Kepler-1649 c
5,Proxima Cen b
6,GJ 1061 d
7,GJ 1061 c
8,Ross 128 b
9,GJ 273 b
10,TRAPPIST-1 e
11,Kepler-442 b
12,Wolf 1061 c
13,GJ 667 C c
14,GJ 667 C f
15,Kepler-1229 b
16,TRAPPIST-1 f
17,Kepler-62 f
18,Teegarden's Star c
19,Kepler-186 f
20,GJ 667 C e
21,tau Cet f
22,TRAPPIST-1 g
23,GJ 682 b
24,Kepler-452 b
25,Kepler-62 e
26,Kepler-1652 b
27,Kepler-1544 b
28,Kepler-296 e
29,Kepler-283 c
30,Kepler-1410 b
31,K2-3 d
32,Kepler-1638 b
33,Kepler-296 f
34,Kepler-440 b
35,Kepler-705 b
36,Kepler-1653 b
37,GJ 832 c
38,Kepler-1606 b
39,Kepler-1090 b
40,Kepler-61 b
41,K2-18 b
42,Kepler-443 b
43,Kepler-1701 b
44,Kepler-22 b
45,LHS 1140 b
46,Kepler-1552 b
47,K2-9 b
48,Kepler-1540 b
49,GJ 180 c
50,Kepler-1632 b
51,Kepler-298 d
52,GJ 163 c
53,HD 40307 g
54,K2-288 B b
55,GJ 3293 d
56,GJ 229 A c
57,Kepler-174 d
58,GJ 357 d
