24 Sex b,yes
75 Cet b,yes
BD+20 2457 c,yes
HD 10180 f,yes
HD 102329 b,yes
HD 112640 b,yes
HD 11506 c,yes
HD 116029 b,yes
HD 136418 b,yes
HD 141399 c,yes
HD 145377 b,yes
HD 147873 c,yes
HD 148164 b,yes
HD 154857 b,yes
HD 158038 b,yes
HD 158996 b,yes
HD 180314 b,yes
HD 181342 b,yes
HD 183579 b,yes
HD 200964 b,yes
HD 202696 b,yes
HD 205739 b,yes
HD 20782 b,yes
HD 208897 b,yes
HD 22532 b,yes
HD 240237 b,yes
HD 25723 b,yes
HD 30856 b,yes
HD 31527 c,yes
HD 33142 b,yes
HD 33844 b,yes
HD 34445 c,yes
HD 40956 b,yes
HD 4732 b,yes
HD 47366 b,yes
HD 47366 c,yes
HD 5608 b,yes
HD 64121 b,yes
HD 67087 b,yes
HD 81817 b,yes
HD 82886 b,yes
HD 82943 c,yes
HD 8574 b,yes
HD 96700 d,yes
HD 98219 b,yes
HIP 90988 b,yes
TOI-2180 b,yes
TYC 1422-614-1 c,yes
TYC 3318-01333-1 b,yes
gam Lib c,yes
nu Oph b,yes
ups And c,yes
